# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
81.4812,10865,2313
81.5951,10868,2313
81.7090,10870,2314
81.8229,10870,2314
81.9368,10871,2314
82.0507,10868,2315
82.1647,10864,2314
82.2786,10866,2313
82.3926,10869,2313
82.5065,10865,2314
82.6204,10863,2315
82.7344,10864,2314
82.8483,10866,2314
82.9622,10867,2314
83.0761,10864,2313
83.1900,10866,2313
83.3039,10865,2314
83.4179,10866,2313
83.5318,10864,2314
83.6457,10864,2314
83.7596,10861,2313
83.8735,10863,2314
83.9874,10864,2314
84.1014,10865,2313
84.2153,10864,2313
84.3292,10865,2314
84.4431,10864,2314
84.5570,10864,2313
84.6709,10866,2313
84.7849,10867,2314
84.8988,10866,2314
85.0127,10864,2313
85.1278,10864,2313
85.2432,10865,2312
85.3584,10864,2312
85.4737,10862,2313
85.5888,10861,2313
85.7042,10863,2312
85.8189,10861,2312
85.9337,10863,2312
86.0489,10867,2312
86.1641,10865,2312
86.2793,10860,2311
86.3945,10862,2312
86.5097,10860,2313
86.6249,10861,2311
86.7401,10860,2312
86.8553,10862,2312
86.9707,10865,2311
87.0861,10864,2311
87.2013,10862,2312
87.3166,10859,2310
87.4318,10858,2312
87.5470,10856,2312
87.6622,10859,2312
87.7774,10858,2312
87.8926,10859,2312
88.0078,10861,2311
88.1229,10855,2312
88.2382,10856,2312
88.3534,10855,2312
88.4686,10857,2311
88.5838,10854,2311
88.6990,10856,2312
88.8143,10856,2311
88.9295,10856,2310
89.0447,10856,2312
89.1600,10855,2312
89.2751,10853,2310
89.3903,10856,2310
89.5055,10854,2311
89.6207,10854,2311
89.7359,10854,2311
89.8511,10859,2310
89.9663,10853,2311
90.0815,10852,2310
90.1967,10855,2311
90.3119,10856,2312
90.4271,10856,2311
90.5422,10856,2312
90.6574,10851,2311
90.7726,10852,2311
90.8878,10850,2311
91.0030,10852,2311
91.1182,10853,2311
91.2336,10853,2311
91.3488,10850,2312
91.4636,10850,2310
91.5775,10855,2312
91.6914,10852,2310
91.8054,10852,2312
91.9193,10853,2309
92.0332,10853,2310
92.1472,10852,2312
92.2612,10852,2311
92.3751,10852,2310
92.4891,10852,2310
92.6030,10850,2311
92.7169,10851,2311
92.8308,10846,2312
92.9447,10848,2309
93.0586,10847,2310
93.1726,10848,2311
93.2865,10849,2311
93.4004,10849,2310
93.5143,10851,2312
93.6283,10848,2311
93.7422,10849,2310
93.8561,10847,2311
93.9700,10847,2310
94.0839,10847,2309
94.1978,10848,2310
94.3118,10850,2311
94.4257,10848,2311
94.5396,10849,2310
94.6535,10849,2311
94.7674,10849,2310
94.8813,10851,2309
94.9952,10850,2310
95.1092,10846,2309
95.2231,10849,2309
95.3370,10850,2310
95.4512,10848,2308
95.5653,10846,2309
95.6793,10848,2310
95.7932,10845,2310
95.9072,10844,2309
96.0211,10842,2309
96.1350,10841,2310
96.2489,10842,2310
96.3629,10843,2309
96.4776,10844,2308
96.5927,10843,2310
96.7079,10843,2311
96.8231,10843,2310
96.9383,10842,2310
97.0536,10842,2310
97.1687,10840,2309
97.2834,10839,2310
97.3984,10842,2309
97.5137,10839,2310
97.6289,10842,2309
97.7441,10844,2308
97.8593,10838,2307
97.9745,10843,2309
98.0897,10842,2308
98.2050,10842,2308
98.3203,10839,2309
98.4354,10841,2308
98.5506,10840,2308
98.6658,10837,2307
98.7810,10836,2309
98.8962,10834,2309
99.0114,10836,2308
99.1266,10839,2309
99.2417,10840,2310
99.3570,10838,2308
99.4722,10842,2309
99.5873,10841,2308
99.7025,10841,2309
99.8177,10842,2308
99.9329,10842,2308
100.0481,10842,2308
100.1633,10844,2308
100.2785,10842,2309
100.3937,10840,2308
100.5089,10846,2310
100.6241,10842,2309
100.7393,10843,2308
100.8545,10842,2307
100.9697,10841,2308
101.0849,10840,2307
101.2001,10842,2308
101.3153,10842,2308
101.4304,10843,2307
101.5457,10840,2310
101.6608,10840,2309
101.7760,10838,2308
101.8912,10838,2310
102.0064,10839,2309
102.1216,10840,2309
